ID,Name,Average,Votes
0,Fresh Food Company@Stokely,5,2
1,Dining Hall@Rocky Top,0,0
2,Southern Kitchen@Volunteer Hall,0,0
3,Vol Bakery@Rocky Top,0,0
4,Arena Dining Cafe@Thompson-Boling,0,0
5,Mabel's@McCord Hall,0,0
6,Subway@Fred Brown Hall,0,0
7,Subway@Student Union,3,1
8,Qdoba@Student Union,0,0
9,Rising Roll@Student Union,0,0
10,Steak n Shake@Student Union,0,0
11,Chick-fil-A@Rocky Top,0,0
12,Chick-fil-A@Student Union,0,0
13,Panda Express@Cumberland,0,0
14,Panda Express@Student Union,0,0
15,Twisted Taco@Brown Hall,0,0
16,Raising Canes@Cumberland,0,0
17,Dunkin Donuts@Volunteer Hall,0,0
18,Bento Sushi@Thompson-Boling,0,0
19,Blenz Smoothie Bowls@Student Union,0,0
20,Einstein Bros Bagels@Art & Architecture,0,0
21,Einstein Bros Bagels@Haslam,0,0
22,Einstein Bros Bagels@Mossman,0,0
23,Starbucks@Hodges Library,0,0
24,Starbucks@Student Union,0,0
25,Blenz@TRECS,0,0
26,Dippers@Hess Hall,0,0
27,Which Wich@Thompson-Boling,0,0
28,Side Bar Cafe@Law School,0,0
29,P.O.D@Rocky Top,0,0
30,P.O.D@Stokely,0,0
31,P.O.D@Hodges Libary,0,0
32,P.O.D@Hess Hall,0,0
33,P.O.D@Humanities,0,0
34,P.O.D@Laurel Hall,0,0
35,P.O.D@Volunteer Hall,0,0
36,P.O.D@Clement Hall,0,0
37,P.O.D@Ag Campus,0,0
38,P.O.D@Zeanah Engineering,0,0
